nbr_delin_id,var_delin_nombre,var_delin_pandilla,var_delin_apodo,var_delin_status
91,Melissa Rhodes,Port,shea,Activo
92,Judith Kim MD,East,cook-nunez,Activo
93,Jessica Evans,North,moody,Activo
94,Timothy Wade,Lake,robinson,Activo
95,Debra Shaw,New,reeves,Activo
96,Sarah Mcgrath,Port,smith,Activo
97,James Higgins,South,guerrero,Activo
98,Sarah Bailey,North,smith,Activo
99,Billy Morris,East,stevens,Activo
100,Michael Murray,North,miller,Activo
101,Chelsea Mitchell,North,pollard,Activo
102,Christina Brewer,South,nichols,Activo
103,Dennis Harmon,New,hodge,Activo
104,Cynthia Bell,Lake,boyd-jordan,Activo
105,Tiffany Stephens,Port,edwards-wells,Activo
106,Vincent Brown,South,garner-garcia,Activo
107,Kathryn Hoover,East,simpson,Activo
108,Stephen Smith,Lake,turner,Activo
109,Melissa Harrison,West,harris,Activo
110,Monica Smith,South,williams-wolfe,Activo
111,Julie Gill,North,ryan,Activo
112,Mary Horne,Port,brown,Activo
113,Kelsey Johnson,North,daugherty-bailey,No Activo
114,Ralph White,South,miller,Activo
115,Jay Foster,New,simpson-manning,Activo
116,Levi Franco,North,miller,Activo
117,Isaiah Garcia PhD,East,perry,Activo
118,Oscar Hansen,Port,hamilton,Activo
119,Jennifer Smith,West,mitchell-underwood,Activo
120,Douglas Jenkins,West,bond,Activo
121,Noah Mckay,New,diaz,Activo
122,Sarah Hess,North,anderson-hunt,Activo
123,Morgan Brown,New,salas,Activo
124,Amanda Hill,West,boyd-kelley,Activo
125,Shawn Escobar,South,larson,Activo
126,David Baldwin,East,ellis-brooks,Activo
127,Jason Whitaker,West,cantrell,Activo
128,Gerald Gallagher,West,shannon-brown,Activo
129,Jonathan Hill,Lake,bradley,Activo
130,Carol Wright,East,pope,Activo
131,Debra Mendoza,Lake,myers-collins,Activo
132,Megan Jackson,North,arroyo,Activo
133,Ronald Werner,South,lin,Activo
134,Traci Wilson,New,ward,Activo
135,Taylor Dorsey,East,shelton-adams,Activo
136,Megan Greene,West,sanchez,Activo
137,Daniel Esparza,Lake,price-rosales,Activo
138,Melissa Sullivan,West,bailey-guzman,Activo
139,Julie Sharp,East,ortiz,Activo
140,Lauren Brown,West,rodgers,Activo
141,Dylan Campos,Port,le,Activo
142,Bobby Reynolds,East,olson-nelson,Activo
143,William Caldwell,West,martin-valdez,Activo
144,Jonathan Sparks,North,willis,Activo
145,Matthew Harmon,Lake,romero,Activo
146,Chad Martinez,West,cox,Activo
147,Kristine Cordova,New,richardson,Activo
148,Gilbert Greene,Lake,galloway,Activo
149,Roger Stewart,South,brown-chen,Activo
150,Mary Reyes,New,wright,Activo
151,Lorraine Curry,West,friedman,Activo
152,Ashley Rodriguez,Port,hood,Activo
153,Kenneth Johnson,New,williams-burnett,Activo
154,William Lane,Port,norris,Activo
155,David Thomas,West,ford,Activo
156,Nathan Medina,South,harris,Activo
157,Bryan Gregory,West,hansen,Activo
158,Andrew Perry,West,schneider,Activo
159,Mary Sawyer,East,farrell,Activo
160,Thomas Gilbert,Port,green,Activo
161,Evelyn Castro,East,moore,Activo
162,Marie Hernandez,Lake,carroll,Activo
163,Elijah Bennett,Port,collins,Activo
164,Michael Nguyen,East,vega-jones,Activo
165,Christian Cantu,West,sheppard-bruce,Activo
166,Clifford Harding,North,stone,Activo
167,Laura Byrd,East,sharp-robertson,Activo
168,Chris Buchanan,New,anderson,Activo
169,Maria Avila,West,sanchez,Activo
170,Kathleen Castillo,Port,schneider-gilbert,Activo
171,Erin Johnson,Port,perez,Activo
172,Mary Alvarez,South,richards,Activo
173,Lisa Brady,West,mccullough,Activo
174,Levi May,West,johnson,Activo
175,Nicole Swanson,East,berry-white,Activo
176,Jeff Jefferson,Lake,moon-myers,Activo
177,Shelly Green,South,smith,Activo
178,Todd Ballard,New,jones,Activo
179,Eddie Blevins,Lake,hill-francis,Activo
180,Stephen Smith,New,adams,Activo
181,Danielle Mendez,West,rogers,Activo
182,Elizabeth Clark,Port,carlson-todd,Activo
183,Robert Perkins,North,valencia-browning,Activo
184,Eric Harper,Port,dillon-porter,Activo
185,Leah Juarez,Port,lee,Activo
186,Mark Short,North,clay,Activo
187,Anthony Higgins,West,solomon,Activo
188,Ashley Morgan,Port,lee,Activo
189,Jessica Lopez,South,anderson,Activo
190,Mandy Frazier,West,baker,Activo
191,Jonathan Conley,East,greene-pena,Activo
192,Daniel Turner,New,sanders,Activo
193,Anthony Douglas,Lake,ramirez,Activo
194,Laurie Lee,New,mcdonald-roy,Activo
195,Jeremy Rhodes,New,butler-madden,Activo
196,Jeffrey Orozco,East,ward,Activo
197,Paul Mckinney,Port,cantu-morrison,Activo
198,Brandon Soto,New,johnson,Activo
199,Timothy Clark,South,nguyen,Activo
200,Robert Garcia,South,smith-richardson,Activo
201,Catherine Moore,Lake,nielsen,Activo
202,Jacqueline Walker,North,lewis-mcdonald,Activo
203,Dr. Terri Johnson,Port,kent-fisher,No Activo
204,Brandon Carlson,West,russell,Activo
205,Travis Lozano,New,edwards-nelson,Activo
206,Karen Vasquez,Port,jimenez-johnson,Activo
207,Sarah West MD,New,rodriguez-rubio,Activo
208,Joel Haas,West,farmer-lucero,Activo
209,James Greene,North,thomas,Activo
210,Miss Tiffany Davis PhD,South,salazar,Activo
211,Mark Bennett,Port,harris,Activo
212,Jill Sharp,East,higgins-martin,Activo
213,Jacqueline Andrews,Port,sawyer,Activo
214,Pamela Leach,West,palmer,Activo
215,Jacob Higgins,West,young,Activo
216,Matthew Jordan,New,lopez-clements,Activo
217,Colleen Atkins,Lake,rodriguez-burns,Activo
218,Jennifer Reeves,Port,wells,Activo
219,Lindsay Roberts,Lake,king,Activo
220,Rachael Downs,South,robles,Activo
221,Shawn Fuller,New,kennedy-hayes,Activo
222,Jesse Rodriguez,Port,wood,Activo
223,Laura Patel,West,thomas-hall,Activo
224,Patricia Riley,East,moreno-nolan,Activo
225,Lauren Obrien,Port,black-martinez,Activo
226,Susan Wright,West,webb-campos,Activo
227,Aaron Foster,New,adams-gibson,Activo
228,Scott Cooke,North,foster-evans,Activo
229,Andrew Stevens,West,myers-bailey,Activo
230,Lee Hernandez,New,grant,Activo
231,Cheyenne Bautista,South,moore,Activo
232,Amber Hanna,South,payne,Activo
233,Travis Gonzalez,North,thompson,Activo
234,Joanna Smith,West,castillo,Activo
235,Joshua Phillips,South,henderson,Activo
236,Shane Lynn,Lake,andrews-mccoy,Activo
237,Edward Scott,South,roberts,Activo
238,John Norman,West,cox,Activo
239,Kaylee Stevens,New,miller,Activo
240,Kimberly Clark,West,boyd,Activo
241,James Ingram,East,thompson-reyes,Activo
242,Melissa Baker,South,smith,Activo
243,Mrs. Danielle Reilly,East,parker-jackson,Activo
244,Christine Robinson,Lake,perkins-scott,Activo
245,Jeffrey Willis,Port,thompson-buck,Activo
246,Omar Henderson,Lake,lopez-zimmerman,Activo
247,Dennis Flores,South,chase,Activo
248,Christopher Cooper,New,schroeder,Activo
249,Nicholas Ramsey,Lake,may-moore,Activo
250,Julie Carter,North,harris-moody,Activo
251,Edward Brown,North,ruiz,Activo
252,Kyle Dominguez,North,henson,Activo
253,David Jacobs,New,smith-carter,Activo
254,Carol Wagner,South,thompson,Activo
255,Elizabeth Washington,Lake,estes,Activo
256,Jennifer Black,Lake,roberts,Activo
257,Donald Phillips,Port,glenn,Activo
258,William Jacobs,New,summers-robinson,Activo
259,Mr. Ronald Williams,East,martinez,Activo
260,Miss Michelle Austin,New,roberts-conner,No Activo
261,Hayden Brown,North,deleon-floyd,Activo
262,Anna Fox,West,johnson,Activo
263,Mrs. Linda Cross,Lake,hill,Activo
264,Corey Ramos,North,marshall,Activo
265,Connor Cox,North,mccarthy-cabrera,Activo
266,Cynthia Clark,North,ellis,Activo
267,Barbara Steele,North,reid,Activo
268,Elizabeth Brock,South,garcia,Activo
269,Randy Turner,Lake,gomez,Activo
270,Theresa Anderson,East,atkins,Activo
271,Maria Price,South,brown,Activo
272,Breanna Oconnor,Port,snyder-gould,Activo
273,Matthew Freeman,New,anderson-lucas,Activo
274,Barry Branch,West,clark-sloan,Activo
275,David Wilkinson,South,ballard,Activo
276,Darrell Harper,North,logan,No Activo
277,Ricky Collins,New,hayden,Activo
278,Christy Howard,Port,austin-phillips,Activo
279,Kara Mccullough,South,garcia,Activo
280,Cody Sanchez,West,robinson,No Activo
281,Andrew Cook,Port,wells,Activo
282,Hannah Howard,Lake,johnson,Activo
283,Ashley Steele,New,williams-hernandez,Activo
284,Melissa Smith,West,anderson-haney,Activo
285,Theresa Simon,East,haley,No Activo
286,Lisa King,North,marshall,Activo
287,Samantha Miller,East,zhang,Activo
288,Melanie Brooks,Lake,cowan-williams,Activo
289,Mrs. Elizabeth Irwin,New,wall-riggs,Activo
290,Andrew Gomez,Port,wilkins,Activo
291,Jasmine Gonzalez,East,smith,Activo
292,Joshua Flores,Port,hunter-dunn,No Activo
293,Johnny Martinez,South,ball-robles,Activo
294,Beverly Tucker,North,johnson,Activo
295,Christine Smith,East,morrison,Activo
296,Joseph Marshall,West,king,Activo
297,Michael Perry,Lake,martinez,Activo
298,Jerry Moore,Port,green-greer,Activo
299,Nathan Scott MD,North,simpson-anderson,Activo
300,John Jackson,East,smith,Activo
301,Laura Floyd,East,knight-pittman,Activo
302,Vanessa Medina,South,meza,Activo
303,Michele Miller,East,bell,Activo
304,Eileen Campos,North,myers,Activo
305,Susan Rivera,South,jackson,Activo
306,Tracy Brown,East,barnes-wallace,Activo
307,Theresa Solomon,North,stephens,Activo
308,Kerry Salazar,South,warren,Activo
309,Kurt Melton,North,nichols,Activo
310,John Conrad,New,phillips,Activo
311,Timothy Perry,North,moore-morris,Activo
312,Laura Johnson,Lake,collins-robinson,Activo
313,John Elliott,South,montgomery,Activo
314,Shannon Christian,Port,patterson,Activo
315,Scott Parker,Lake,white,Activo
316,Angelica Wright,New,warren-warren,Activo
317,Brittany West DVM,New,mcbride-wilson,Activo
318,Michael Moss,South,stokes-duran,Activo
319,Tiffany Smith,Port,mcfarland-taylor,Activo
320,Donald Ortiz,West,johnson,Activo
321,Anthony Rowe,East,brooks,Activo
322,Mr. Donald Waller,West,scott,Activo
323,Jenna Bishop,East,garcia,Activo
324,Allison Hill,New,thomas-perez,Activo
325,Robert Bowman,North,armstrong-morgan,Activo
326,Yolanda Webb,East,trevino-garcia,Activo
327,Barbara Woodard,West,brown,Activo
328,Corey Anderson,North,sanders,Activo
329,Christopher Carter,North,beck,Activo
330,Johnny Wiley,South,cobb,Activo
331,Jeremiah Mcbride,South,charles-williams,Activo
332,April Rodriguez,West,griffin,Activo
333,Colleen Fitzgerald,North,kim-hudson,Activo
334,Cynthia Weiss,Lake,wilson,Activo
335,Tara Reed,South,gibbs-hogan,Activo
336,Patricia Romero,New,stokes,Activo
337,Jessica Griffith,Port,pierce,Activo
338,Kristen Nichols,North,martinez-salazar,Activo
339,Hayley Sullivan,Lake,martin-moses,Activo
340,Jason Wells,South,dalton,Activo
341,Colton Ochoa,Lake,hurley,Activo
342,Luke Turner,Lake,fernandez-willis,Activo
343,Anthony Lowe,Lake,gomez,Activo
344,Wendy Kim,Port,williams-watkins,Activo
345,Mitchell Ballard,East,johnson-bell,Activo
346,John Wallace,East,white,Activo
347,Tony Martinez,New,hurst,Activo
348,Jeffrey Mcdowell,Lake,cook,Activo
349,Sierra Diaz,East,murillo,Activo
350,Donna Peters,North,ortiz-willis,Activo
351,Gregory Macias,North,adams,Activo
352,William Mcgrath,South,farmer,Activo
353,Katie Hansen,West,chavez,Activo
354,Heather Smith,West,brown,Activo
355,Scott Miller,West,christian-cain,Activo
356,Dana Sanchez,New,lawson,Activo
357,Mike Hall,West,sullivan-scott,Activo
358,Charles Brown,New,hampton-miller,Activo
359,Benjamin Ewing DDS,East,hebert-valdez,Activo
360,Matthew Fitzgerald,New,harper,Activo
361,Jennifer Jackson,South,george-manning,Activo
362,Kimberly Mason,North,clark-turner,Activo
363,Maria Chapman,Lake,brown-perkins,Activo
364,Kelsey Chapman,South,lam,Activo
365,Amy Edwards,North,ward,Activo
366,Donald Wade,South,riley-hart,Activo
367,Gary Gutierrez,South,smith,Activo
368,Randy Johnson,South,garcia-gomez,Activo
369,Gregory Sanchez,East,wilson,Activo
370,Mark Gray,South,carpenter,Activo
371,Pamela Johnson,Lake,reilly,Activo
372,Joseph Pearson,New,ryan-cook,Activo
373,William Stevens,South,smith,Activo
374,William Rodriguez,North,smith,Activo
375,Crystal Collins,South,johnson-gibson,Activo
376,Andrea West,East,jennings,Activo
377,Maurice Freeman,North,davis,Activo
378,Jason Jackson,New,bishop,Activo
379,Keith Rojas,North,mckinney-schmitt,Activo
380,Jeremy Moore,East,flores-schroeder,Activo
381,Donna Shaw,Lake,watkins,Activo
382,Jacob Ferguson,South,baldwin,Activo
383,Nicole Gray,Lake,mitchell,Activo
384,Daniel Durham,New,davis-rodriguez,Activo
385,Tyler Warner,Port,hunt-king,Activo
386,Denise Johnston,East,white-hodges,Activo
387,Mark Greene,Port,house,Activo
388,Sara Thompson,West,sanchez-ford,Activo
389,Meghan Maldonado,Port,brown-gomez,Activo
390,Cory Roberts,East,harrison,Activo
391,Tracey Tapia,East,simmons,Activo
392,Anthony Freeman,Lake,hanson-olson,Activo
393,Sean Macdonald,North,thompson,Activo
394,Kelsey Savage,East,steele-williams,Activo
395,Stacey Ellison,Port,johnson-taylor,Activo
396,Jordan Quinn,Port,taylor,Activo
397,Heather Walker,Lake,bowman,Activo
398,Kara Cooper,New,drake,Activo
399,Stephen Goodman,Port,griffin,Activo
400,Brian Ramirez,Port,cook-cruz,Activo
401,Raymond Schwartz,New,rivera,Activo
402,Richard Powell,Port,harmon-rocha,Activo
403,Christopher Miller,New,murray,Activo
404,Laura Holmes,North,morgan,Activo
405,Robert Bailey,Lake,williams-poole,Activo
406,Morgan Mills DVM,Lake,clark,Activo
407,Donald Kim,North,cunningham-jimenez,Activo
408,Melissa Wheeler,Lake,strickland,Activo
409,Lisa Gonzalez,North,hall,Activo
410,Trevor Hart,South,martinez,Activo
411,Ryan Brady,East,chavez,Activo
412,Melanie Chase,East,garcia,Activo
413,Kathleen Wilcox,North,chen,Activo
414,Teresa Richards,Port,palmer-mendez,Activo
415,Paula Goodwin,Port,oneill,Activo
416,Kim Ashley,Lake,davis,Activo
417,Nicholas Rodriguez,Port,bradford-scott,Activo
418,Karen Glenn,South,rosario-luna,Activo
419,Mason Smith,New,taylor,Activo
420,Michael Duncan,East,stanton,Activo
421,Leslie Miller,Port,rodriguez,Activo
422,Jennifer Smith,West,walker-davis,Activo
423,Donna Eaton,North,garcia-foster,Activo
424,Michelle Conley,Lake,terry,Activo
425,Daniel Boyd,South,hunt,Activo
426,Emily Flynn,South,banks,Activo
427,Julie Salas DVM,West,evans-baker,Activo
428,Ashley Wheeler,North,bright-hartman,Activo
429,Cameron Jackson,New,robinson,Activo
430,Kathleen Anderson,New,martinez-garrett,Activo
431,Victor Palmer,Port,jackson,Activo
432,Timothy Valdez,East,garcia,Activo
433,Diane Hicks,North,berry,Activo
434,Kim Smith,North,powell,Activo
435,Ashley Charles,North,cross,Activo
436,Austin Hernandez,East,wallace,Activo
437,Michelle Vaughn,North,alvarez-smith,Activo
438,Todd Weber,East,campbell,Activo
439,Charlene Watson,East,riggs-stone,Activo
440,Allison Harrell,South,garcia,Activo
441,Danielle Johnson,Port,williams-henson,Activo
442,Charles Beltran,West,good,Activo
443,John Ryan,South,bell,Activo
444,Edward Smith,North,patel-marshall,Activo
445,Mark Greene,New,harris-ortiz,Activo
446,Blake Jackson,North,torres,Activo
447,Jennifer Long,Lake,nguyen,Activo
448,Jason Williams,Lake,kelly,Activo
449,Melinda Holland,South,li,Activo
450,Lori Lopez,East,johnson-austin,Activo
451,Laura Smith,West,bradley,Activo
452,Linda Gibson,East,nichols-miller,Activo
453,Jason Mejia,Lake,carpenter,Activo
454,Ann Smith,South,johnson-jordan,Activo
455,Joe Rogers,West,ward-moon,Activo
456,James Baker,East,becker-andersen,Activo
457,Mr. Jason Griffith,Lake,rice-jones,Activo
458,Kenneth Silva,East,cox,Activo
459,Andrea Carney,Port,washington,Activo
460,Robert Good,West,chaney,Activo
461,Laura Lindsey,Lake,barr-whitney,Activo
462,Crystal Miranda,Lake,jackson-andrade,Activo
463,Dr. Jennifer Henderson,Lake,russell,Activo
464,Julie Wolfe,Port,sullivan-martinez,Activo
465,Heidi Kim,East,taylor,Activo
466,Cody Barber,North,thompson,Activo
467,Stacy Harris,North,schmidt-morris,Activo
468,Kristen Page,Port,yu,Activo
469,Heather Roberson,South,morris,Activo
470,Christine Diaz,West,may,Activo
471,Jerry Green,East,santiago-weber,Activo
472,Lisa Tyler,Port,johnston,Activo
473,Samuel Anderson,Lake,francis-torres,Activo
474,Scott Hutchinson,East,young,Activo
475,Matthew Ali,North,rogers,Activo
476,Greg Sandoval,South,davis,Activo
477,John Rivers,South,aguilar,Activo
478,Gregory Jones,Port,knight-shelton,Activo
479,Kelli Smith,Lake,zimmerman-olsen,Activo
480,Christopher Bowen,New,washington,Activo
481,Jessica Diaz,Port,davis-moreno,Activo
482,Kimberly Andersen,Port,montgomery-rodriguez,Activo
483,Sean Williams,Lake,ponce-nelson,Activo
484,Brenda Miller,North,wilson-robertson,Activo
485,Jasmine Huang,New,hughes-walker,Activo
486,Taylor Allen,New,briggs,Activo
487,Brianna Williams,Port,klein-duncan,Activo
488,Juan Douglas,Lake,molina,Activo
489,Joseph Miranda,West,bernard-gill,Activo
490,Justin Johnson,East,smith,Activo
491,Jeffrey Rodriguez,Port,horton,Activo
492,Cathy Shaw,North,barry,Activo
493,Rebecca Rodriguez,West,diaz-smith,Activo
494,Clayton Fritz,New,glover-jackson,Activo
495,Joseph Murray,New,frazier,No Activo
496,Marcus Kaufman,North,rogers,Activo
497,Benjamin Rogers,New,yates,Activo
498,Sherry Flores,Port,callahan-arroyo,Activo
499,Natalie Obrien,Lake,hopkins-scott,Activo
500,Calvin Robertson,South,lewis-yates,Activo
501,Kristen Wilson,West,zhang-suarez,Activo
502,Greg Floyd,West,rowe-cole,Activo
503,Kendra Simpson,New,smith,Activo
504,Kevin Adams DDS,Lake,buchanan,Activo
505,Brandi Mills,New,willis,Activo
506,Allison Reed,West,martin-hall,Activo
507,Stacey Gonzalez,Port,wade,Activo
508,Robert Logan,Lake,newman-johnson,Activo
509,Jessica Frank,Port,stone,Activo
510,Matthew Hanson,West,becker-rivera,Activo
511,Patrick Jones,West,pace,Activo
512,John Bailey,East,jones,Activo
513,Jonathan Kelly,North,simpson,Activo
514,Suzanne Gould,New,ellis-hill,Activo
515,Christopher Johnson,Lake,davis-meyer,Activo
516,Cindy Gonzales,East,smith,Activo
517,Catherine Smith,Lake,clark,Activo
518,Jessica Jordan,Port,cervantes,Activo
519,Jessica Hanson,North,dickerson,Activo
520,Anthony Horton,North,garcia,Activo
521,Chris Harrington,North,perry-jackson,Activo
522,Kathryn Russell,West,robinson,Activo
523,Caroline Butler,East,kaufman-lee,Activo
524,Anna Doyle,New,morales,Activo
525,Rebecca Vazquez,East,thompson,Activo
526,Mary Silva,West,pierce,Activo
527,Isaiah Jackson,East,bates,Activo
528,Katherine Maxwell,North,flynn-moore,Activo
529,Timothy Boyd,East,taylor-guerrero,Activo
530,Autumn Santiago,North,le,Activo
531,Mackenzie Richardson,North,garcia,Activo
532,Sarah Miller,West,sparks,Activo
533,Melissa Swanson,Port,black,Activo
534,Elijah Mejia,West,lewis,Activo
535,Lisa Reed,New,mcmillan,Activo
536,Jennifer Ortega,West,rogers-byrd,Activo
537,David Dickerson DDS,East,maxwell,Activo
538,Scott Dean,Lake,hayes,Activo
539,Jimmy Nguyen,Port,elliott,Activo
540,Ashley Williamson,East,kim-sandoval,Activo
541,William Drake,West,allen,Activo
542,Matthew Moore,Port,king-callahan,Activo
543,Deborah Smith,Port,jacobs,Activo
544,Susan Gregory,West,molina-atkinson,Activo
545,Angel Owens,West,spencer-santiago,Activo
546,David Phelps,West,swanson,Activo
547,Jacob Farmer,Lake,nelson,Activo
548,Brenda Meyer,New,olson,Activo
549,Donna Ramirez,New,combs,Activo
550,Scott Garrison,West,bush,No Activo
551,William Day,Lake,maxwell,Activo
552,William Diaz,New,contreras-butler,Activo
553,Jonathon Lewis,Port,miller-austin,Activo
554,Sherry Bender,South,chapman,Activo
555,Kevin Parrish,North,wright-dominguez,Activo
556,Steven Gonzales,Port,fox,Activo
557,Amy Stewart,Lake,cooper-berry,Activo
558,Dylan Henderson,New,russell-lawson,Activo
559,Dana Brown,South,brown,Activo
560,Michael Turner,North,smith,Activo
561,Melissa Horton,Port,williams-weiss,Activo
562,Hannah Jacobs,North,sampson,Activo
563,Michael Gonzalez,North,garza-dominguez,Activo
564,Jasmine Pacheco,New,allen-powell,Activo
565,Michael Cook,Lake,livingston,Activo
566,Michelle Ellis,North,solis,Activo
567,Jacob Espinoza,North,torres-dunn,Activo
568,Samantha Smith,Lake,williams,Activo
569,Nicholas Price,West,lee,Activo
570,Brandon Gray,North,bridges-howard,Activo
571,Brenda Lawson,North,wang,Activo
572,Edward Grant,Port,key,No Activo
573,Kimberly Carroll,East,page,Activo
574,Terri Trevino,Port,nguyen-henry,Activo
575,Andrea Key,East,garza,Activo
576,Suzanne Lewis,North,williams,Activo
577,Jason Reyes,East,mclaughlin,Activo
578,Jeremy Williams,West,campbell-briggs,Activo
579,Matthew Santana,Port,walter,Activo
580,Richard Boyd,Lake,miller,Activo
581,Jennifer Blake,South,gonzalez,Activo
582,Daniel Morris,New,franklin-graves,Activo
583,Michael Bowman,Lake,carlson,Activo
584,Matthew Diaz,West,johnson-vaughan,Activo
585,Sara Merritt,West,morris-spencer,Activo
586,Brandy York,South,valdez,Activo
587,Meghan Hood,Lake,sparks,Activo
588,James Castro,West,lopez,Activo
589,Carla Holloway,New,guerrero-moore,Activo
590,Troy Cruz,North,matthews,Activo
591,Joyce Vega,North,white,Activo
592,Wendy Simpson,Port,smith,Activo
593,Matthew Boyd,South,smith-long,Activo
594,Shawn Bryant,Port,robinson,Activo
595,Jeremy Johnson,North,raymond,Activo
596,Matthew Miller,West,zhang-buck,Activo
597,Courtney Keller,South,williams,Activo
598,Travis Wagner,East,owens,Activo
599,Brandon Fox,West,kennedy,Activo
600,Patricia Petersen,West,taylor-smith,Activo
601,Brent Ochoa,North,valdez,Activo
602,Elizabeth Smith,West,cruz-taylor,Activo
603,Benjamin Walsh,West,gallegos,Activo
604,Clayton Miller,South,edwards,Activo
605,Micheal Morris,Lake,nguyen-hammond,Activo
606,Bradley Kane,North,rodriguez-coffey,Activo
607,Nicole Matthews,Lake,rose-grant,Activo
608,Kimberly Gonzalez,Port,joseph,No Activo
609,Mark Schroeder,North,bailey,Activo
610,Brandon Diaz,Lake,park,Activo
611,Andrea Wilson,East,fleming,Activo
612,William Holt,East,smith,Activo
613,Philip Aguilar,New,wallace-perez,Activo
614,Ricky Bush,Lake,smith,Activo
615,Martin Montgomery,Port,ford-hart,Activo
616,Sarah Gonzalez,New,wright,Activo
617,Kenneth Barnes,East,campbell,Activo
618,Shannon Williams,South,olsen,Activo
619,James Watson,New,gutierrez,Activo
620,Nicholas Brewer,East,castaneda-mitchell,Activo
621,Antonio Baker,North,thompson,Activo
622,Nathan Davidson,Port,douglas-brown,Activo
623,Benjamin Morales,North,roberts-davis,Activo
624,Mark Ross,Port,gamble,Activo
625,Sally Kennedy,Lake,clark-ewing,Activo
626,Felicia Moore,South,barker,Activo
627,Heather Beck,South,wyatt,Activo
628,Tyler Gonzales,North,olson-cuevas,Activo
629,Joel Patrick,Port,vazquez,Activo
630,Ashlee Romero,Lake,alvarado-lowe,Activo
